
match_id,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed
1,1,0.1,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,0,,,,,,,
1,1,0.2,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,6,,,,,,,
1,1,0.3,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,1,,,,,,,
1,1,0.4,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,RJW Topley,1,,,,,,,
1,1,0.5,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,4,,,,,,,
1,1,0.6,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,0,,,,,,,
1,1,1.1,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
1,1,1.2,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
1,1,1.3,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
1,1,1.4,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
1,1,1.5,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
1,1,1.6,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
1,1,2.1,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,0,,,,,,,
1,1,2.2,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,1,,,,,,,
1,1,2.3,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,RJW Topley,2,,,,,,,
1,1,2.4,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,RJW Topley,1,,,,,,,
1,1,2.5,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,0,,,,,,,
1,1,2.6,Afghanistan,England,Rahmanullah Gurbaz,Ibrahim Zadran,RJW Topley,0,,,,,,,
1,1,3.1,Afghanistan,England,Ibrahim Zadran,Rahmanullah Gurbaz,CR Woakes,0,,,,,,,
